# step, loss function, Y0, learning rate, running time
1.050000000000000000e+02, 4.798392396267774416e+02, 5.793583727627999025e+01, 1.000000000000000000e+00, 9.321106481552124023e+01
1.060000000000000000e+02, 4.026409711183423497e+02, 5.829736926844900324e+01, 1.000000000000000000e+00, 9.383896970748901367e+01
1.070000000000000000e+02, 3.996788060939495608e+02, 5.865284316776173767e+01, 1.000000000000000000e+00, 9.446591472625732422e+01
1.080000000000000000e+02, 4.066545496795949930e+02, 5.900695575226806255e+01, 1.000000000000000000e+00, 9.508958077430725098e+01
1.090000000000000000e+02, 6.415025923438341806e+02, 5.933815580006567814e+01, 1.000000000000000000e+00, 9.571414875984191895e+01
1.100000000000000000e+02, 2.741560090078322673e+02, 5.968584803141185091e+01, 1.000000000000000000e+00, 9.633988094329833984e+01
1.110000000000000000e+02, 4.489669207475996018e+02, 5.999803701699303815e+01, 1.000000000000000000e+00, 9.696884775161743164e+01
1.120000000000000000e+02, 5.649217550050002501e+02, 6.031335390373423877e+01, 1.000000000000000000e+00, 9.759329795837402344e+01
1.130000000000000000e+02, 3.261597805423602381e+02, 6.063830334954108281e+01, 1.000000000000000000e+00, 9.822124385833740234e+01
1.140000000000000000e+02, 3.254828804908423763e+02, 6.093490276450240373e+01, 1.000000000000000000e+00, 9.884872603416442871e+01
1.150000000000000000e+02, 3.959174917802858431e+02, 6.121203294770892001e+01, 1.000000000000000000e+00, 9.947342491149902344e+01
1.160000000000000000e+02, 3.040619191250708582e+02, 6.146720319571223712e+01, 1.000000000000000000e+00, 1.000978507995605469e+02
1.170000000000000000e+02, 3.615042454464603452e+02, 6.170513548157096295e+01, 1.000000000000000000e+00, 1.007426927089691162e+02
1.180000000000000000e+02, 3.471539499754049984e+02, 6.194290790781126077e+01, 1.000000000000000000e+00, 1.013695287704467773e+02
1.190000000000000000e+02, 2.839046360348766598e+02, 6.219082270274154212e+01, 1.000000000000000000e+00, 1.019920868873596191e+02
1.200000000000000000e+02, 4.532898656602277470e+02, 6.243220005458329069e+01, 1.000000000000000000e+00, 1.026210277080535889e+02
1.210000000000000000e+02, 3.949856147101747297e+02, 6.268462263572776294e+01, 1.000000000000000000e+00, 1.032705547809600830e+02
1.220000000000000000e+02, 3.459383854270763550e+02, 6.294626022325523707e+01, 1.000000000000000000e+00, 1.039044957160949707e+02
1.230000000000000000e+02, 2.540035398170664109e+02, 6.319988223969570384e+01, 1.000000000000000000e+00, 1.045323159694671631e+02
1.240000000000000000e+02, 2.836722712654807310e+02, 6.343402604519096144e+01, 1.000000000000000000e+00, 1.051576948165893555e+02
1.250000000000000000e+02, 4.685442026478430080e+02, 6.365010405663490900e+01, 1.000000000000000000e+00, 1.057962307929992676e+02
1.260000000000000000e+02, 3.553924600392897446e+02, 6.386601438787212004e+01, 1.000000000000000000e+00, 1.064237318038940430e+02
1.270000000000000000e+02, 2.793627749618182179e+02, 6.407594243918424581e+01, 1.000000000000000000e+00, 1.070601608753204346e+02
1.280000000000000000e+02, 3.294178618038587274e+02, 6.429089156541367345e+01, 1.000000000000000000e+00, 1.076949586868286133e+02
1.290000000000000000e+02, 3.370449023728771181e+02, 6.451509818945429231e+01, 1.000000000000000000e+00, 1.083215160369873047e+02
1.300000000000000000e+02, 2.472507221203501615e+02, 6.475695032545050367e+01, 1.000000000000000000e+00, 1.089477057456970215e+02
